el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
C,1,2s2.2p2,3P,e,0,0.00,,,,,,,,,,L7288,006001.000001,1
C,1,2s2.2p.10d,3F*,o,4,,,,,,,,,,,,006001.000005,219
C,1,2s2.2p.10d,3F*,o,2,,,,,,,,,,,,006001.000004,217
C,1,2s2.2p.10p,3D,e,2,,,,,,,,,,,,006001.000003,214
C,1,2s2.2p.10p,3D,e,1,,,,,,,,,,,,006001.000002,213
C,1,2s2.2p2,3P,e,1,16.40,,,,,,,,,,,006001.000006,2
C,1,2s2.2p2,3P,e,2,43.40,,,,,,,,,,,006001.000007,3
C,1,2s2.2p2,1D,e,2,10192.63,,,,,,,,,,,006001.000008,4
C,1,2s2.2p2,1S,e,0,21648.01,,,,,,,,,,,006001.000009,5
C,1,2s.2p3,5S*,o,2,33735.20,,,,,,,,,,,006001.000010,6
C,1,2s2.2p.3s,3P*,o,0,60333.43,,,,,,,,,,,006001.000011,7
C,1,2s2.2p.3s,3P*,o,1,60352.63,,,,,,,,,,,006001.000012,8
C,1,2s2.2p.3s,3P*,o,2,60393.14,,,,,,,,,,,006001.000013,9
C,1,2s2.2p.3s,1P*,o,1,61981.82,,,,,,,,,,,006001.000014,10
C,1,2s.2p3,3D*,o,3,64086.92,,,,,,,,,,,006001.000015,11
C,1,2s.2p3,3D*,o,1,64089.85,,,,,,,,,,,006001.000016,12
C,1,2s.2p3,3D*,o,2,64090.95,,,,,,,,,,,006001.000017,13
C,1,2s2.2p.3p,1P,e,1,68856.33,,,,,,,,,,,006001.000018,14
C,1,2s2.2p.3p,3D,e,1,69689.48,,,,,,,,,,,006001.000019,15
C,1,2s2.2p.3p,3D,e,2,69710.66,,,,,,,,,,,006001.000020,16
C,1,2s2.2p.3p,3D,e,3,69744.03,,,,,,,,,,,006001.000021,17
C,1,2s2.2p.3p,3S,e,1,70743.95,,,,,,,,,,,006001.000022,18
C,1,2s2.2p.3p,3P,e,0,71352.51,,,,,,,,,,,006001.000023,19
C,1,2s2.2p.3p,3P,e,1,71364.90,,,,,,,,,,,006001.000024,20
C,1,2s2.2p.3p,3P,e,2,71385.38,,,,,,,,,,,006001.000025,21
C,1,2s2.2p.3p,1D,e,2,72610.72,,,,,,,,,,,006001.000026,22
C,1,2s2.2p.3p,1S,e,0,73975.91,,,,,,,,,,,006001.000027,23
C,1,2s.2p3,3P*,o,1,75253.97,,,,,,,,,,,006001.000028,24
C,1,2s.2p3,3P*,o,2,75255.27,,,,,,,,,,,006001.000029,25
C,1,2s.2p3,3P*,o,0,75256.12,,,,,,,,,,,006001.000030,26
C,1,2s2.2p.3d,1D*,o,2,77679.82,,,,,,,,,,,006001.000031,27
