el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
C,1,,,945.191,,,2s2.2p2,3P,0,1,2s.2p3,3S*,1,3,,3.79e+08,1.52e-01,4.74e-01,-0.817,C+,,T5520LS,,006001.000001,006001.000281,33842
C,1,,,945.338,,,2s2.2p2,3P,1,3,2s.2p3,3S*,1,3,,1.14e+09,1.53e-01,1.43e+00,-0.339,C+,,T5520LS,,006001.000006,006001.000281,33841
C,1,,,945.579,,,2s2.2p2,3P,2,5,2s.2p3,3S*,1,3,,1.89e+09,1.52e-01,2.37e+00,-0.119,C+,,T5520LS,,006001.000007,006001.000281,33840
C,1,,,1121.45,,,2s2.2p2,3P,0,1,2s2.2p.8d,3P*,1,3,,1.48e+06,8.40e-04,3.10e-03,-3.076,C+,,T7333,,006001.000001,006001.000200,301214
C,1,,,1121.52,,,2s2.2p2,3P,0,1,2s2.2p.8d,1P*,1,3,,1.74e+06,9.85e-04,3.63e-03,-3.007,C+,,T7333,,006001.000001,006001.000199,301217
C,1,,,1121.64,,,2s2.2p2,3P,1,3,2s2.2p.8d,3P*,0,1,,1.10e+07,6.91e-04,7.66e-03,-2.683,C+,,T7333,,006001.000006,006001.000201,301212
C,1,,,1121.66,,,2s2.2p2,3P,1,3,2s2.2p.8d,3P*,1,3,,3.50e+06,6.59e-04,7.30e-03,-2.704,C+,,T7333,,006001.000006,006001.000200,301210
C,1,,,1121.71,,,2s2.2p2,3P,0,1,2s2.2p.9s,1P*,1,3,,3.97e+05,2.25e-04,8.3e-04,-3.65,C,,T7333,,006001.000001,006001.000195,301207
C,1,,,1121.73,,,2s2.2p2,3P,1,3,2s2.2p.8d,1P*,1,3,,8.1e+05,1.53e-04,1.70e-03,-3.337,C,,T7333,,006001.000006,006001.000199,301216
C,1,,,1121.76,,,2s2.2p2,3P,1,3,2s2.2p.8d,3P*,2,5,,4.26e+05,1.34e-04,1.48e-03,-3.396,C,,T7333,,006001.000006,006001.000198,301213
C,1,,,1121.92,,,2s2.2p2,3P,1,3,2s2.2p.9s,1P*,1,3,,3.60e+06,6.78e-04,7.52e-03,-2.691,C+,,T7333,,006001.000006,006001.000195,301206
C,1,,,1122.00,,,2s2.2p2,3P,2,5,2s2.2p.8d,3P*,1,3,,3.96e+06,4.48e-04,8.28e-03,-2.650,C+,,T7333,,006001.000007,006001.000200,301211
C,1,,,1122.004,,,2s2.2p2,3P,1,3,2s2.2p.8d,3D*,2,5,,8.49e+06,2.67e-03,2.96e-02,-2.097,C+,,T7333,,006001.000006,006001.000193,33835
C,1,,,1122.07,,,2s2.2p2,3P,2,5,2s2.2p.8d,1P*,1,3,,1.2e+04,1.4e-06,2.5e-05,-5.17,D,,T7333,,006001.000007,006001.000199,301215
C,1,,,1122.10,,,2s2.2p2,3P,2,5,2s2.2p.8d,3P*,2,5,,6.71e+06,1.27e-03,2.34e-02,-2.198,C+,,T7333,,006001.000007,006001.000198,301209
C,1,,,1122.18,,,2s2.2p2,3P,2,5,2s2.2p.8d,1F*,3,7,,3.38e+06,8.93e-04,1.65e-02,-2.350,C+,,T7333,,006001.000007,006001.000196,301208
C,1,,,1122.26,,,2s2.2p2,3P,2,5,2s2.2p.9s,1P*,1,3,,1.41e+06,1.59e-04,2.94e-03,-3.099,C+,,T7333,,006001.000007,006001.000195,301205
C,1,,,1122.334,,,2s2.2p2,3P,2,5,2s2.2p.8d,3D*,3,7,,1.06e+07,2.80e-03,5.17e-02,-1.854,B,,T7333,,006001.000007,006001.000194,33834
C,1,,,1122.344,,,2s2.2p2,3P,2,5,2s2.2p.8d,3D*,2,5,,3.41e+05,6.4e-05,1.19e-03,-3.492,C,,T7333,,006001.000007,006001.000193,33837
C,1,,,1122.438,,,2s2.2p2,3P,0,1,2s2.2p.8d,3D*,1,3,,9.04e+06,5.12e-03,1.89e-02,-2.291,C+,,T7333,,006001.000001,006001.000189,33836
C,1,,,1122.52,,,2s2.2p2,3P,0,1,2s2.2p.9s,3P*,1,3,,2.03e+06,1.15e-03,4.26e-03,-2.939,C+,,T7333,,006001.000001,006001.000188,301204
C,1,,,1122.644,,,2s2.2p2,3P,1,3,2s2.2p.8d,3D*,1,3,,2.73e+06,5.15e-04,5.71e-03,-2.811,C+,,T7333,,006001.000006,006001.000189,33838
C,1,,,1122.72,,,2s2.2p2,3P,1,3,2s2.2p.9s,3P*,1,3,,3.96e+05,7.5e-05,8.3e-04,-3.65,C,,T7333,,006001.000006,006001.000188,301201
C,1,,,1122.77,,,2s2.2p2,3P,1,3,2s2.2p.9s,3P*,0,1,,3.78e+06,2.38e-04,2.64e-03,-3.146,C+,,T7333,,006001.000006,006001.000186,301203
C,1,,,1122.79,,,2s2.2p2,3P,1,3,2s2.2p.8d,3F*,2,5,,7.25e+06,2.29e-03,2.53e-02,-2.164,C+,,T7333,,006001.000006,006001.000185,301199
C,1,,,1122.985,,,2s2.2p2,3P,2,5,2s2.2p.8d,3D*,1,3,,4.1e+03,4.6e-07,8.6e-06,-5.63,D,,T7333,,006001.000007,006001.000189,33839
C,1,,,1123.07,,,2s2.2p2,3P,2,5,2s2.2p.9s,3P*,1,3,,1.27e+06,1.44e-04,2.66e-03,-3.144,C+,,T7333,,006001.000007,006001.000188,301202
C,1,,,1123.11,,,2s2.2p2,3P,2,5,2s2.2p.8d,3F*,3,7,,3.58e+06,9.47e-04,1.75e-02,-2.325,C+,,T7333,,006001.000007,006001.000187,301198
C,1,,,1123.12,,,2s2.2p2,3P,1,3,2s2.2p.8d,1D*,2,5,,3.79e+05,1.19e-04,1.32e-03,-3.446,C,,T7333,,006001.000006,006001.000184,301197
C,1,,,1123.13,,,2s2.2p2,3P,2,5,2s2.2p.8d,3F*,2,5,,5.4e+00,1.0e-09,1.9e-08,-8.29,E,,T7333,,006001.000007,006001.000185,301200
C,1,,,1123.46,,,2s2.2p2,3P,2,5,2s2.2p.8d,1D*,2,5,,3.75e+05,7.1e-05,1.31e-03,-3.450,C,,T7333,,006001.000007,006001.000184,301196
C,1,,,1128.07,,,2s2.2p2,3P,0,1,2s2.2p.7d,3P*,1,3,,2.37e+06,1.36e-03,5.03e-03,-2.868,C+,,T7333,,006001.000001,006001.000175,301192
C,1,,,1128.17,,,2s2.2p2,3P,0,1,2s2.2p.7d,1P*,1,3,,1.83e+06,1.05e-03,3.88e-03,-2.980,C+,,T7333,,006001.000001,006001.000173,301195
C,1,,,1128.25,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,0,1,,1.55e+07,9.88e-04,1.10e-02,-2.528,B,,T7333,,006001.000006,006001.000176,301190
C,1,,,1128.28,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,1,3,,4.96e+06,9.47e-04,1.06e-02,-2.547,C+,,T7333,,006001.000006,006001.000175,301188
C,1,,,1128.38,,,2s2.2p2,3P,1,3,2s2.2p.7d,1P*,1,3,,9.6e+05,1.83e-04,2.04e-03,-3.261,C,,T7333,,006001.000006,006001.000173,301194
C,1,,,1128.41,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,2,5,,7.3e+04,2.3e-05,2.6e-04,-4.16,D,,T7333,,006001.000006,006001.000171,301191
C,1,,,1128.48,,,2s2.2p2,3P,0,1,2s2.2p.8s,1P*,1,3,,6.0e+05,3.42e-04,1.27e-03,-3.467,C,,T7333,,006001.000001,006001.000167,301185
C,1,,,1128.63,,,2s2.2p2,3P,2,5,2s2.2p.7d,3P*,1,3,,5.80e+06,6.65e-04,1.24e-02,-2.478,C+,,T7333,,006001.000007,006001.000175,301189
C,1,,,1128.69,,,2s2.2p2,3P,1,3,2s2.2p.8s,1P*,1,3,,4.79e+06,9.15e-04,1.02e-02,-2.562,C+,,T7333,,006001.000006,006001.000167,301184
C,1,,,1128.72,,,2s2.2p2,3P,2,5,2s2.2p.7d,1P*,1,3,,2.4e+04,2.7e-06,5.1e-05,-4.86,D,,T7333,,006001.000007,006001.000173,301193
C,1,,,1128.75,,,2s2.2p2,3P,2,5,2s2.2p.7d,3P*,2,5,,1.02e+07,1.94e-03,3.61e-02,-2.013,B,,T7333,,006001.000007,006001.000171,301187
C,1,,,1128.817,,,2s2.2p2,3P,1,3,2s2.2p.7d,3D*,2,5,,1.61e+07,5.12e-03,5.70e-02,-1.814,B,,T7333,,006001.000006,006001.000165,33829
C,1,,,1128.90,,,2s2.2p2,3P,2,5,2s2.2p.7d,1F*,3,7,,3.98e+06,1.06e-03,1.98e-02,-2.274,C,,T7333,,006001.000007,006001.000168,301186
C,1,,,1129.03,,,2s2.2p2,3P,2,5,2s2.2p.8s,1P*,1,3,,1.82e+06,2.08e-04,3.87e-03,-2.982,C+,,T7333,,006001.000007,006001.000167,301183
C,1,,,1129.08,,,2s2.2p2,3P,1,3,2s2.2p.8s,3P*,2,5,,9.9e+05,3.16e-04,3.52e-03,-3.024,C,,T7333,,006001.000006,006001.000163,301181
