el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id,
F,1,780.39,,,,15,,,,,,,,,,,,,,,,,L7481,,,85866,
F,1,780.52,,,,10,,,,,,,,,,,,,,,,,L7481,,,85867,
F,1,782.38,,,,10,,,,,,,,,,,,,,,,,L7481,,,85868,
F,1,791.88,,,,12,,,,,,,,,,,,,,,,,L7481,,,85869,
F,1,792.54,,,,10,,,,,,,,,,,,,,,,,L7481,,,85870,
F,1,794.42,,,,10,,,,,,,,,,,,,,,,,L7481,,,85871,
F,1,806.96,,,,150,,,,,,,,,,,,,,,,,L7481,,,85872,
F,1,809.60,,,,125,,,,,,,,,,,,,,,,,L7481,,,85873,
F,1,951.87,,,,500,,,,,,,,,,,,,,,,,L7481,,,85874,
F,1,954.83,,,,1000,,,,,,,,,,,,,,,,,L7481,,,85875,
F,1,955.55,,,,750,,,,,,,,,,,,,,,,,L7481,,,85876,
F,1,958.52,,,,500,,,,,,,,,,,,,,,,,L7481,,,85877,
F,1,972.40,,,,20,,,,,,,,,,,,,,,,,L7481,,,85878,
F,1,973.90,,,,350,,,,,,,,,,,,,,,,,L7481,,,85879,
F,1,976.22,,,,100,,,,,,,,,,,,,,,,,L7481,,,85880,
F,1,976.51,,,,40,,,,,,,,,,,,,,,,,L7481,,,85881,
F,1,977.75,,,,100,,,,,,,,,,,,,,,,,L7481,,,85882,
F,1,3594.10,,,,6,,,,,,,,,,,,,,,,,L7481,,,85912,
F,1,3668.17,,,,12,,,,,,,,,,,,,,,,,L7481,,,85916,
F,1,3898.48,,,,5,,,,,,,,,,,,,,,,,L7481,,,85921,
F,1,3930.69,,,,8,,,,,,,,,,,,,,,,,L7481,,,85925,
F,1,3934.26,,,,5,,,,,,,,,,,,,,,,,L7481,,,85926,
F,1,3948.56,,,,5,,,,,,,,,,,,,,,,,L7481,,,85927,
F,1,4960.65,,,,6,,,,,,,,,,,,,,,,,L7481,,,85946,
F,1,5230.41,,,,15,,,,,,,,,,,,,,,,,L7481,,,85949,
F,1,5279.01,,,,12,,,,,,,,,,,,,,,,,L7481,,,85950,
F,1,5540.52,,,,18,,,,,,,,,,,,,,,,,L7481,,,85951,
F,1,5552.43,,,,12,,,,,,,,,,,,,,,,,L7481,,,85952,
F,1,5577.33,,,,10,,,,,,,,,,,,,,,,,L7481,,,85953,
F,1,5624.06,,,,20,,,,,,,,,,,,,,,,,L7481,,,85955,
F,1,5626.93,,,,12,,,,,,,,,,,,,,,,,L7481,,,85956,
F,1,5659.15,,,,15,,,,,,,,,,,,,,,,,L7481,,,85957,
F,1,5667.53,,,,40,,,,,,,,,,,,,,,,,L7481,,,85958,
F,1,5671.67,,,,90,,,,,,,,,,,,,,,,,L7481,,,85959,
F,1,5689.14,,,,18,,,,,,,,,,,,,,,,,L7481,,,85960,
F,1,5700.82,,,,25,,,,,,,,,,,,,,,,,L7481,,,85961,
F,1,5707.31,,,,25,,,,,,,,,,,,,,,,,L7481,,,85962,
F,1,5950.15,,,,12,,,,,,,,,,,,,,,,,L7481,,,85963,
F,1,5959.19,,,,25,,,,,,,,,,,,,,,,,L7481,,,85964,
F,1,5965.28,,,,70,,,,,,,,,,,,,,,,,L7481,,,85965,
F,1,5994.43,,,,50,,,,,,,,,,,,,,,,,L7481,,,85966,
F,1,6015.83,,,,150,,,,,,,,,,,,,,,,,L7481,,,85967,
F,1,6038.04,,,,80,,,,,,,,,,,,,,,,,L7481,,,85968,
F,1,6047.54,,,,900,,,,,,,,,,,,,,,,,L7481,,,85969,
F,1,6080.11,,,,100,,,,,,,,,,,,,,,,,L7481,,,85970,
F,1,6149.76,,,,800,,,,,,,,,,,,,,,,,L7481,,,85971,
F,1,6210.87,,,,400,,,,,,,,,,,,,,,,,L7481,,,85972,
F,1,6239.65,,6239.65,,13000,2s2.2p4.(3P).3s,4P,5/2,6,2s2.2p4.(3P).3p,4S*,3/2,4,,2.9e+07,1.1e-01,1.4e+01,-0.17,D,,"T1115CA.LS",L7481,009001.000003,009001.000018,46816,
F,1,6348.51,,6348.51,,10000,2s2.2p4.(3P).3s,4P,3/2,4,2s2.2p4.(3P).3p,4S*,3/2,4,,1.8e+07,1.1e-01,9.1e+00,-0.36,D,,"T1115CA.LS",L7481,009001.000004,009001.000018,46817,
F,1,6413.65,,6413.65,,8000,2s2.2p4.(3P).3s,4P,1/2,2,2s2.2p4.(3P).3p,4S*,3/2,4,,9.0e+06,1.1e-01,4.7e+00,-0.65,D,,"T1115CA.LS",L7481,009001.000005,009001.000018,46818,
F,1,6569.69,,,,450,,,,,,,,,,,,,,,,,L7481,,,85974,
F,1,6580.39,,,,300,,,,,,,,,,,,,,,,,L7481,,,85975,
F,1,6650.41,,,,400,,,,,,,,,,,,,,,,,L7481,,,85976,
F,1,6690.48,,,,1800,,,,,,,,,,,,,,,,,L7481,,,85977,
F,1,6708.28,,6708.27,,400,2s2.2p4.(3P).3s,4P,5/2,6,2s2.2p4.(3P).3p,4D*,3/2,4,,2.4e+06,1.1e-02,1.4e+00,-1.19,D,,"T1115CA.LS",L7481,009001.000003,009001.000013,46819,
F,1,6773.98,,6773.98,,7000,2s2.2p4.(3P).3s,4P,5/2,6,2s2.2p4.(3P).3p,4D*,5/2,6,,1.4e+07,9.6e-02,1.3e+01,-0.24,D,,"T1115CA.LS",L7481,009001.000003,009001.000012,46820,
F,1,6795.53,,6795.52,,1500,2s2.2p4.(3P).3s,4P,3/2,4,2s2.2p4.(3P).3p,4D*,1/2,2,,7.7e+06,2.7e-02,2.4e+00,-0.97,D,,"T1115CA.LS",L7481,009001.000004,009001.000014,46821,
F,1,6834.26,,6834.26,,9000,2s2.2p4.(3P).3s,4P,3/2,4,2s2.2p4.(3P).3p,4D*,3/2,4,,2.4e+07,1.7e-01,1.5e+01,-0.17,D,,"T1115CA.LS",L7481,009001.000004,009001.000013,46822,
F,1,6856.03,,6856.03,,50000,2s2.2p4.(3P).3s,4P,5/2,6,2s2.2p4.(3P).3p,4D*,7/2,8,,4.5e+07,4.2e-01,5.7e+01,0.40,D,,"T1115CA.LS",L7481,009001.000003,009001.000011,46823,
F,1,6870.22,,6870.22,,8000,2s2.2p4.(3P).3s,4P,1/2,2,2s2.2p4.(3P).3p,4D*,1/2,2,,3.8e+07,2.7e-01,1.2e+01,-0.27,D,,"T1115CA.LS",L7481,009001.000005,009001.000014,46824,
F,1,6902.48,,6902.47,,15000,2s2.2p4.(3P).3s,4P,3/2,4,2s2.2p4.(3P).3p,4D*,5/2,6,,3.1e+07,3.3e-01,3.0e+01,0.12,D,,"T1115CA.LS",L7481,009001.000004,009001.000012,46825,
F,1,6909.82,,6909.81,,6000,2s2.2p4.(3P).3s,4P,1/2,2,2s2.2p4.(3P).3p,4D*,3/2,4,,1.8e+07,2.6e-01,1.2e+01,-0.29,D,,"T1115CA.LS",L7481,009001.000005,009001.000013,46826,
F,1,6966.35,,6966.35,,4000,2s2.2p4.(3P).3s,2P,3/2,4,2s2.2p4.(3P).3p,2P*,1/2,2,,1.6e+07,5.8e-02,5.3e+00,-0.63,D,,"T1115CA.LS",L7481,009001.000006,009001.000020,46827,
F,1,7037.47,,7037.46,,45000,2s2.2p4.(3P).3s,2P,3/2,4,2s2.2p4.(3P).3p,2P*,3/2,4,,3.8e+07,2.8e-01,2.6e+01,0.05,D,,"T1115CA.LS",L7481,009001.000006,009001.000019,46828,
F,1,7127.89,,7127.89,,30000,2s2.2p4.(3P).3s,2P,1/2,2,2s2.2p4.(3P).3p,2P*,1/2,2,,3.0e+07,2.3e-01,1.1e+01,-0.34,D,,"T1115CA.LS",L7481,009001.000007,009001.000020,46829,
