el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
N,2,,,437.265,,,2s2.2p2,3P,0,1,2s.2p2.(4P).3p,3D*,1,3,,4.43e+08,3.81e-02,5.48e-02,-1.419,C+,,T5520LS,,007002.000001,007002.000160,38032
N,2,,,437.286,,,2s2.2p2,3P,1,3,2s.2p2.(4P).3p,3D*,2,5,,5.98e+08,2.86e-02,1.23e-01,-1.067,C+,,T5520LS,,007002.000016,007002.000161,38031
N,2,,,437.329,,,2s2.2p2,3P,2,5,2s.2p2.(4P).3p,3D*,3,7,,7.97e+08,3.20e-02,2.30e-01,-0.796,C+,,T5520LS,,007002.000017,007002.000162,38030
N,2,,,437.358,,,2s2.2p2,3P,1,3,2s.2p2.(4P).3p,3D*,1,3,,3.32e+08,9.52e-03,4.11e-02,-1.544,C+,,T5520LS,,007002.000016,007002.000160,38034
N,2,,,437.443,,,2s2.2p2,3P,2,5,2s.2p2.(4P).3p,3D*,2,5,,1.99e+08,5.71e-03,4.11e-02,-1.544,C+,,T5520LS,,007002.000017,007002.000161,38033
N,2,,,437.515,,,2s2.2p2,3P,2,5,2s.2p2.(4P).3p,3D*,1,3,,2.21e+07,3.81e-04,2.74e-03,-2.721,D,,T5520LS,,007002.000017,007002.000160,38035
N,2,,,474.493,,,2s2.2p2,3P,0,1,2s2.2p.4d,3P*,1,3,,4.30e+08,4.35e-02,6.80e-02,-1.361,C+,,T5520LS,,007002.000001,007002.000081,38029
N,2,,,474.546,,,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,0,1,,1.29e+09,1.45e-02,6.80e-02,-1.361,C+,,T5520LS,,007002.000016,007002.000082,38027
N,2,,,474.602,,,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,1,3,,3.22e+08,1.09e-02,5.10e-02,-1.487,C+,,T5520LS,,007002.000016,007002.000081,38025
N,2,,,474.706,,,2s2.2p2,3P,1,3,2s2.2p.4d,3P*,2,5,,3.22e+08,1.81e-02,8.50e-02,-1.264,C+,,T5520LS,,007002.000016,007002.000080,38028
N,2,,,474.787,,,2s2.2p2,3P,2,5,2s2.2p.4d,3P*,1,3,,5.37e+08,1.09e-02,8.51e-02,-1.264,C+,,T5520LS,,007002.000017,007002.000081,38026
N,2,,,474.891,,,2s2.2p2,3P,2,5,2s2.2p.4d,3P*,2,5,,9.66e+08,3.27e-02,2.55e-01,-0.787,C+,,T5520LS,,007002.000017,007002.000080,38024
N,2,,,475.647,,,2s2.2p2,3P,0,1,2s2.2p.4d,3D*,1,3,,1.17e+09,1.19e-01,1.86e-01,-0.924,C+,,T5520LS,,007002.000001,007002.000077,38020
N,2,,,475.698,,,2s2.2p2,3P,1,3,2s2.2p.4d,3D*,2,5,,1.58e+09,8.93e-02,4.20e-01,-0.572,C+,,T5520LS,,007002.000016,007002.000078,38019
N,2,,,475.757,,,2s2.2p2,3P,1,3,2s2.2p.4d,3D*,1,3,,8.75e+08,2.97e-02,1.40e-01,-1.050,C+,,T5520LS,,007002.000016,007002.000077,38022
N,2,,,475.803,,,2s2.2p2,3P,2,5,2s2.2p.4d,3D*,3,7,,2.10e+09,9.98e-02,7.82e-01,-0.302,C+,,T5520LS,,007002.000017,007002.000079,38018
N,2,,,475.884,,,2s2.2p2,3P,2,5,2s2.2p.4d,3D*,2,5,,5.25e+08,1.78e-02,1.40e-01,-1.050,C+,,T5520LS,,007002.000017,007002.000078,38021
N,2,,,475.943,,,2s2.2p2,3P,2,5,2s2.2p.4d,3D*,1,3,,5.83e+07,1.19e-03,9.31e-03,-2.226,C,,T5520LS,,007002.000017,007002.000077,38023
N,2,,,485.849,,,2s2.2p2,1D,2,5,2s2.2p.5d,1F*,3,7,,9.79e+08,4.85e-02,3.88e-01,-0.615,B,,T5520,,007002.000018,007002.000114,38057
N,2,,,487.379,,,2s2.2p2,1D,2,5,2s2.2p.5d,1D*,2,5,,6.32e+08,2.25e-02,1.81e-01,-0.949,B,,T5520,,007002.000018,007002.000107,38056
N,2,,,505.986,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3d,5P,1,3,,4.51e+09,1.04e-01,8.65e-01,-0.285,C+,,T5520LS,,007002.000020,007002.000179,38076
N,2,,,506.054,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3d,5P,2,5,,4.51e+09,1.73e-01,1.44e+00,-0.063,C+,,T5520LS,,007002.000020,007002.000178,38075
N,2,,,506.153,,,2s.2p3,5S*,2,5,2s.2p2.(4P).3d,5P,3,7,,4.51e+09,2.43e-01,2.02e+00,0.084,C+,,T5520LS,,007002.000020,007002.000177,38074
N,2,,,508.484,,,2s2.2p2,3P,1,3,2s2.2p.4s,3P*,2,5,,6.47e+07,4.18e-03,2.10e-02,-1.902,B,,T6385n,,007002.000016,007002.000058,38016
N,2,,,508.668,,,2s2.2p2,3P,0,1,2s2.2p.4s,3P*,1,3,,8.45e+07,9.83e-03,1.65e-02,-2.007,B,,T6385n,,007002.000001,007002.000057,38017
N,2,,,508.697,,,2s2.2p2,3P,2,5,2s2.2p.4s,3P*,2,5,,1.91e+08,7.41e-03,6.20e-02,-1.431,B,,T6385n,,007002.000017,007002.000058,38012
