el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
N,2,2s.2p2.(4P).3p,3P*,o,1,,,,,,,,,,,,007002.000005,156
N,2,2s.2p2.(4P).3p,3P*,o,0,,,,,,,,,,,,007002.000004,155
N,2,2s2.2p.6s,3P*,o,0,,,,,,,,,,,,007002.000003,121
N,2,2s2.2p.5d,3D*,o,1,,,,,,,,,,,,007002.000002,94
N,2,2s2.2p2,3P,e,0,0.0,,,,,,,,,,L7288,007002.000001,1
N,2,2s.2p2.(4P).4f,5G*,o,2,,,,,,,,,,,,007002.000006,173
N,2,2s.2p2.(4P).4f,5G*,o,3,,,,,,,,,,,,007002.000007,174
N,2,2s.2p2.(4P).4f,5D*,o,0,,,,,,,,,,,,007002.000008,178
N,2,2s.2p2.(4P).4f,5D*,o,1,,,,,,,,,,,,007002.000009,179
N,2,2s.2p2.(4P).4f,5D*,o,2,,,,,,,,,,,,007002.000010,180
N,2,2s.2p2.(4P).4f,5D*,o,3,,,,,,,,,,,,007002.000011,181
N,2,2s.2p2.(4P).4f,5F*,o,1,,,,,,,,,,,,007002.000012,183
N,2,2s.2p2.(4P).4f,5F*,o,2,,,,,,,,,,,,007002.000013,184
N,2,2s.2p2.(4P).5f,5G*,o,2,,,,,,,,,,,,007002.000014,188
N,2,2s.2p2.(4P).5f,5G*,o,3,,,,,,,,,,,,007002.000015,189
N,2,2s2.2p2,3P,e,1,48.7,,,,,,,,,,,007002.000016,2
N,2,2s2.2p2,3P,e,2,130.8,,,,,,,,,,,007002.000017,3
N,2,2s2.2p2,1D,e,2,15316.2,,,,,,,,,,,007002.000018,4
N,2,2s2.2p2,1S,e,0,32688.8,,,,,,,,,,,007002.000019,5
N,2,2s.2p3,5S*,o,2,46784.6,,,,,,,,,,,007002.000020,6
N,2,2s.2p3,3D*,o,3,92237.2,,,,,,,,,,,007002.000021,7
N,2,2s.2p3,3D*,o,2,92250.3,,,,,,,,,,,007002.000022,8
N,2,2s.2p3,3D*,o,1,92251.8,,,,,,,,,,,007002.000023,9
N,2,2s.2p3,3P*,o,1,109216.6,,,,,,,,,,,007002.000024,11
N,2,2s.2p3,3P*,o,2,109217.6,,,,,,,,,,,007002.000025,10
N,2,2s.2p3,3P*,o,0,109223.5,,,,,,,,,,,007002.000026,12
N,2,2s.2p3,1D*,o,2,144187.94,,,,,,,,,,,007002.000027,13
N,2,2s2.2p.3s,3P*,o,0,148908.59,,,,,,,,,,,007002.000028,14
N,2,2s2.2p.3s,3P*,o,1,148940.17,,,,,,,,,,,007002.000029,15
N,2,2s2.2p.3s,3P*,o,2,149076.52,,,,,,,,,,,007002.000030,16
