Int.,λ I.A. Vac.,wn,p1,p2,dp,wl_check,id1,id2,e1,e2,unc_wn,e_check,unc_check
3,1328.839,75253.0,7.525366127875537E-7,1.32885067704942E-5,1.2535970157706647E-5,-.012,006001.000001,006001.000028,0.00,75253.97,2.831531886105089,-0.9700000000011642,0.3425707493393079,
4,1329.1,75238.9,7.523888345496954E-5,1.3290997077309744E-6,-7.390978374723856E-5,.000,006001.000006,006001.000029,16.40,75255.27,2.8304454141900535,0.02999999998428393,0.01059903852371892,
4,1329.583,75211.6,7.521155129089346E-7,1.3295821389253786E-6,5.77466626016444E-7,.001,006001.000007,006001.000029,43.40,75255.27,2.8283905555350817,-0.27000000000407454,0.09546064968845694,
3,1560.267,64091.6,6.409159457964566E-7,1.5602668680451106E-6,9.19350922248654E-7,.000,006001.000001,006001.000016,0.00,64089.85,2.053866421580409,1.75,0.8520515168914491,
4,1560.66,64075.5,6.407545525610959E-6,1.560658910191883E-6,-4.846886615419076E-6,.001,006001.000006,006001.000017,16.40,64090.95,2.052833416631425,0.9500000000043656,0.46277500761033885,
5,1561.381,64045.9,6.404586708817387E-7,1.5613801976395055E-6,9.209215267577668E-7,.001,006001.000007,006001.000016,43.40,64089.85,2.0509375994712378,-0.5499999999956344,0.2681700311786339,
2,1656.27,60376.6,6.037662941428632E-6,1.6562708069020119E-6,-4.38139213452662E-6,-.001,006001.000006,006001.000013,16.40,60393.14,1.8226678017472997,-0.13999999999941792,0.0768104861814133,
3,1657.01,60349.7,6.034966596459889E-6,1.6570090654965976E-6,-4.377957530963292E-6,.001,006001.000007,006001.000013,43.40,60393.14,1.8210421180318768,-0.040000000000873115,0.021965444733427594,
2,1657.37,60336.6,6.0336557316712626E-6,1.6573688275441442E-6,-4.376286904127118E-6,.001,006001.000006,006001.000012,16.40,60352.63,1.8202513620977816,0.37000000000261934,0.203268629655745,
2,1657.92,60316.5,6.031654120826095E-6,1.6579211326917179E-6,-4.373732988134377E-6,-.001,006001.000006,006001.000011,16.40,60333.43,1.819041328894036,-0.5299999999988358,0.2913622640564588,
2,1658.13,60308.9,6.030890219705331E-6,1.6581300604056782E-6,-4.372760159299652E-6,-.000,006001.000007,006001.000012,43.40,60352.63,1.8185817758559342,-0.32999999999447027,0.18146008300295013,
